OBJECTID_1,OBJECTID,LOCALIDAD,ORGANIZACI,TIPO_DE_OR,NOMBRE_ENT,ESTADO,DIRECCION,Nomenclatu,TELEFONO,CELULAR,BARRIO,EMAIL,ID_DISCIPL,DESCRIPCIO,UPlCodigo,UPlNombre,LocNombre,LocCodigo
"84","84",Usaquén,Deportiva,Ligas,LIGA DE RAQUETBALL DE BOGOTA,A,Carrera 15 No.119-59 oficina 410,KR 15  119-59 oficina 410,"2132917",N.D.,SANTA BARBARA OCCIDENTAL,ligaracquetbolbogota@gmail.com,"65",Racquetball,UPZ16,SANTA BARBARA,USAQUEN,"01"
"85","85",Engativá,Deportiva,Ligas,LIGA DE CANOTAJE Y REMO DE SANTA FE DE BOGOTA,A,Calle 63 B No.68F-12,CL 63 B  68F-12,"2129785","3194115479",BOSQUE POPULAR,canotaje.bogotadc@gmail.com,"22",Canotaje,UPZ26,LAS FERIAS,ENGATIVA,"10"
"86","86",Barrios Unidos,Deportiva,Ligas,"LIGA DE DEPORTES PARA PERSONAS CON DISCAPACIDAD FISICA DE STA FE DE BOGOTA ""LIDESPORTS""",A,Av. 68 Calle 63 Velodromo Luis Carlos Sarmiento oficina 38,AV 68  63 - 00 Velodromo Luis Carlos Sarmiento oficina 38,"2621229","3012213154",BOSQUE POPULAR,lidesports@hotmail.com,"56",Multidisciplinas,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"87","87",Suba,Deportiva,Clubes,CORPORACION CLUB DEPORTIVO PEQUEÃ‘AS LIGAS DE BASEBALL,I,Diagonal 128C No 52A 27,DG 128C  52A 27,"6240704",N.D.,PRADO SUR,N.D.,"15",Beisbol,UPZ24,NIZA,SUBA,"11"
"88","88",Puente Aranda,Deportiva,Clubes,CORPORACION CLUB DEPORTIVO RADIO TAXI AEROPUERTO SA,A,Av. Americas No 50 15,AV Americas  50 15,"4202600","3106992024",GALAN,"AUDITOR.GENERAL@COTECH,COM,CO","35",Futbol,UPZ43,SAN RAFAEL,PUENTE ARANDA,"16"
"89","89",Puente Aranda,Deportiva,Asociaciones,ASOCIACION CLUB DEPORTIVO ESCABO,I,Carrera 46 No 2A 16,KR 46  2A 16,"2031764",N.D.,EL JAZMIN I SECTOR,NA,"1",Actividades Subacuaticas,UPZ40,CIUDAD MONTES,PUENTE ARANDA,"16"
"90","90",Suba,Deportiva,Clubes,CLUB DEPORTIVO VADID,A,Calle 151 No 111A 25 Casa 137,CL 151  111A 25 Casa 137,"69018141","3144584223",URBANIZACIÃ’N LAS FLORES,CDVADID@YAHOO.COM,"1",Actividades Subacuaticas,UPZ27,SUBA,SUBA,"11"
"91","91",Engativá,Deportiva,Clubes,CLUB DEPORTIVO ROYAL SKATE,A,Avenida Boyaca No 52 - 58 Apartamento 403,AV Boyaca  52 - 58 Apartamento 403,"2958229","3005510644",NORMANDIA,irmacharry@yahoo.com,"63",Patinaje,UPZ31,SANTA CECILIA,ENGATIVA,"10"
"92","92",Chapinero,Deportiva,Clubes,CLUB DE ATLETISMO JORGE NOVA MASTER NOVA,I,Carrera 7 No 45 88,KR 7  45 88,N.D.,N.D.,PARDO RUBIO,NA,"6",Atletismo,UPZ90,PARDO RUBIO,CHAPINERO,"02"
"93","93",Teusaquillo,Deportiva,Ligas,LIGA DE ORIENTACION DE BOGOTA DC,A,Transv 58 No 104B 67,TV 58  104B 67,"5684965","3133130639",PUENTE LARGO,TA-36@HOTMAIL.COM,"60",Orientación,UPZ20,LA ALHAMBRA,SUBA,"11"
"94","94",Engativá,Deportiva,Ligas,LIGA DE TENIS DE CAMPO DE BOGOTA D C,A,Av. 68 Calle 63 - Unidad Deportiva El Salitre,AV 68  63 - 00 - Unidad Deportiva El Salitre,"3110405","3165293084",SALITRE,asistente.direccion@ligadetenisdebogota.com,"77",Tenis,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"95","95",Barrios Unidos,Deportiva,Asociaciones,ASOCIACION DISTRITAL DE ATLETISMO MASTER ASODIMASTER,A,Calle 63 Avenida 68 Uds,AV 68 63 - 00,"8054540","3115986968",SAN FERNANDO OCCIDENTAL,asodimasterbgta@gmail.com,"6",Atletismo,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"96","96",Barrios Unidos,Deportiva,Ligas,LIGA BOGOTANA DE ARQUERIA,A,Calle 63 No 59A 06,CL 63  59A 06,"2257740","3042963768",CLUB DE EMPLEADOS OFICIALES,ARQUERIABOGOTAYAHOO.COM,"5",Arqueria,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"97","97",Kennedy,Deportiva,Clubes,CLUB DEPORTIVO INDEPENDIENTE NACIONAL,A,Carrera 81B No 6B 50 Casa 134,KR 81B  6B 50 Casa 134,"4855857","3107864601",CIUDAD TECHO II,INDEPENDIENTENACIONAL@YAHOO.ES,"35",Futbol,UPZ46,CASTILLA,KENNEDY,"08"
"98","98",Engativá,Deportiva,Clubes,CLUB DEPORTIVO AGUILAS DORADAS PARALISIS CEREBRAL,A,Carrera 69P No 63A 34,KR 69P  63A 34,"2250290","3112657183",LA RELIQUIA,MONTESBLANCALILI@HOTMAIL.COM,"56",Multidisciplinas,UPZ26,LAS FERIAS,ENGATIVA,"10"
"99","99",La Candelaria,Deportiva,Clubes,CLUB SOCIAL Y DEPORTIVO COLPATRIA (Liquidada),I,Carrera 7 No 24 89 Piso 36 Torre Colpatria,KR 7  24 89 Piso 36 Torre Colpatria,"7456300",N.D.,SAN DIEGO,CLUBAMPATRIA@COLPATRIA.COM,"1",Actividades Subacuaticas,UPZ93,LAS NIEVES,SANTA FE,"03"
"100","100",Engativá,Deportiva,Ligas,LIGA DE BOLO DE BOGOTA,A,Calle 63 No. 68 99,CL 63   68 99,"2500400","3192868764",BOSQUE POPULAR,ligabolobogota@gmail.com,"17",Bolos,UPZ105,JARDIN BOTANICO,ENGATIVA,"10"
"101","101",Fontibón,Deportiva,Clubes,CLUB DEPORTIVO OSITOS,I,Av. Calle 24 No 84 66 Apto 303,AV CL 24  84 66 Apto 303,"3037325","3108501381",RINCÓN DE MODELIA,NA,"1",Actividades Subacuaticas,UPZ114,MODELIA,FONTIBON,"09"
"102","102",Los Mártires,Deportiva,Clubes,BARSA CLUB DEPORTIVO BARSA DC,A,Av. Caracas No 15 47 sur,AV Caracas  15 47 sur,"2095124",N.D.,SAN VICTORINO,GERENCIA_BARSA@HOTMAIL.COM,"35",Futbol,UPZ62,TUNJUELITO,TUNJUELITO,"06"
"103","103",Engativá,Deportiva,Clubes,KATIOS HOCKEY CLUB,A,Carrera 69 No 66A 22,KR 69  66A 22,"6182399","3012398833",BELLA VISTA OCCIDENTAL,PRESIDENTE@KATIOS.NET,"42",Hockey,UPZ26,LAS FERIAS,ENGATIVA,"10"
"104","104",Engativá,Deportiva,Clubes,CLUB DEPORTIVO CIUDADELA COLSUBSIDIO ESFODECOL,A,Carrera 111C No 88 05 Interior 13 Apto 302,KR 111C  88 05 Interior 13 Apto 302,N.D.,"3125239258",CIUDADELA COLSUBSIDIO,JUANCHOTEWANDU@HOTMAIL.COM,"35",Futbol,UPZ72,BOLIVIA,ENGATIVA,"10"
"105","105",Engativá,Deportiva,Clubes,CLUB DEPORTIVO FENIX,A,Av. Calle 63 No. 69 - 99,AV CL 63   69 - 99,"2501597","3118102863",BOSQUE POPULAR,HDOCAMPOS@YAHOO.COM,"15",Beisbol,UPZ105,JARDIN BOTANICO,ENGATIVA,"10"
"106","106",Chapinero,Deportiva,Clubes,CLUB DEPORTIVO CATERPILLAR MOTOR,A,Carrera 9 No. 59 - 91 Oficina 402,KR 9   59 - 91 Oficina 402,"2120303","3125287890",CHAPINERO CENTRAL,clubcaterpillarmotor@clubcaterpillarmotor.com,"35",Futbol,UPZ99,CHAPINERO,CHAPINERO,"02"
"107","107",Engativá,Deportiva,Clubes,CLUB DEPORTIVO EXCALIBUR,A,Calle 23A No 80B 75,CL 23A  80B 75,"7530442","3183912334",MODELIA,excalibur.clubesgrima@gmail.com,"32",Esgrima,UPZ114,MODELIA,FONTIBON,"09"
"108","108",Barrios Unidos,Deportiva,Ligas,LIGA DE RUGBY DE BOGOTA,A,Carrera 27 A No.74A-29,KR 27 A  74A-29,"5404975","3172433673",LOS ALCAZARES NORTE,TESORERIA@ LIGARUGBYBOGOTA.COM,"68",Rugby,UPZ98,LOS ALCAZARES,BARRIOS UNIDOS,"12"
"109","109",Rafael Uribe Uribe,Deportiva,Clubes,PENSILVANIA FUTBOL CLUB,I,Carrera 11 No.49-02 sur,KR 11  49-02 sur,N.D.,N.D.,LA MERCED SUR SAN IGNACIO,NA,"35",Futbol,UPZ54,MARRUECOS,RAFAEL URIBE URIBE,"18"
"110","110",Kennedy,Deportiva,Clubes,CLUB DEPORTIVO SOCIAL DE FUTBOL ESTRELLAS DEL FUTURO,I,Carrera 78 No.41 G-03 sur,KR 78  41 G-03 sur,"6044782","3153478820",PALENQUE,alejandropalmar1@hotmail.com,"1",Actividades Subacuaticas,UPZ48,TIMIZA,KENNEDY,"08"
"111","111",Fontibón,Deportiva,Clubes,CLUB DEPORTIVO FONTIBON EFD,I,Calle 22 No.94-50,CL 22  94-50,"4132525",N.D.,CAPELLANIA,NA,"1",Actividades Subacuaticas,UPZ114,MODELIA,FONTIBON,"09"
"112","112",Usaquén,Deportiva,Clubes,CLUB DEPORTIVO CIUDAD BONITA,I,Carrera 31 A No.192-10,KR 31 A  192-10,"6777253",N.D.,N.D.,NA,"1",Actividades Subacuaticas,UPZ9,VERBENAL,USAQUEN,"01"
"113","113",Teusaquillo,Deportiva,Clubes,CLUB DE BOLOS ICOLLANTAS,I,Carrera 32 No.25-20,KR 32  25-20,N.D.,N.D.,GRAN AMERICA,NA,"1",Actividades Subacuaticas,UPZ107,QUINTA PAREDES,TEUSAQUILLO,"13"
"114","114",Engativá,Deportiva,Clubes,CLUB DEPORTIVO REAL PLAYERS FC,I,Carrera 112 i No.89A-81 Manzana 27 Casa 58,KR 112 i  89A-81 Manzana 27 Casa 58,"6183827",N.D.,CIUDADELA COLSUBSIDIO,NA,"1",Actividades Subacuaticas,UPZ72,BOLIVIA,ENGATIVA,"10"
"115","115",Usaquén,Deportiva,Clubes,CLUB DEPORTIVO UNION DEPORTIVA BOGOTA,A,Autopista Norte No.183-10 Local 128 B,Autopista Norte  183-10 Local 128 B,"6749566","3102442233",RINCON DEL PUENTE-QUINTA CATANIA,diegobar99@hotmail.com,"35",Futbol,UPZ17,SAN JOSE DE BAVARIA,SUBA,"11"
"116","116",Tunjuelito,Deportiva,Clubes,CLUB CULTURAL Y DEPORTIVO JUVENTUDES FUNDACION DANIEL MAZUERA VARGAS,I,Carrera 59 No.52-67 sur,KR 59  52-67 sur,"2701190",N.D.,NUEVO MUZU,NA,"1",Actividades Subacuaticas,UPZ42,VENECIA,TUNJUELITO,"06"
"117","117",Santa Fe,Deportiva,Clubes,CLUB DEPORTIVO Y SOCIAL CALIFORNIA,I,Calle 23 No.4-64,CL 23  4-64,"2340871",N.D.,N.D.,NA,"1",Actividades Subacuaticas,UPZ93,LAS NIEVES,SANTA FE,"03"
"118","118",Teusaquillo,Deportiva,Clubes,CLUB DEPORTIVO TEUSAQUILLO,I,Calle 28 No.25-28 int 101,CL 28  25-28 int 101,"2459412",N.D.,ESTRELLA,NA,"1",Actividades Subacuaticas,UPZ101,TEUSAQUILLO,TEUSAQUILLO,"13"
"119","119",Engativá,Deportiva,Clubes,CLUB DEPORTIVO Y SOCIAL GUIBOES,I,Calle 59 A No.77 C-37,CL 59 A  77 C-37,"2696454",N.D.,VILLA LUZ,NA,"1",Actividades Subacuaticas,UPZ31,SANTA CECILIA,ENGATIVA,"10"
"120","120",La Candelaria,Deportiva,Clubes,CLUB DEPORTIVO Y SOCIAL DE LOS EMPLEADOS DEL BANCO SUDAMERIS COLOMBIA,I,Carrera 8 A No.15-42 piso 2,KR 8 A  15-42 piso 2,"3374700",N.D.,VERACRUZ,NA,"1",Actividades Subacuaticas,UPZ93,LAS NIEVES,SANTA FE,"03"
"121","121",Puente Aranda,Deportiva,Clubes,CLUB DEPORTIVO WYETH,I,Calle 13 No.65-71,CL 13  65-71,"2605644",N.D.,SALAZAR GOMEZ,NA,"1",Actividades Subacuaticas,UPZ111,PUENTE ARANDA,PUENTE ARANDA,"16"
"122","122",Barrios Unidos,Deportiva,Clubes,CLUB DEPORTIVO SOCIAL HIDALGO,I,Carrera 34 No.71-28,KR 34  71-28,"2409712",N.D.,LA MERCED NORTE,NA,"1",Actividades Subacuaticas,UPZ98,LOS ALCAZARES,BARRIOS UNIDOS,"12"
"123","123",Chapinero,Deportiva,Clubes,CLUB DEPORTIVO Y POPULAR TAURUS,I,Avenida Caracas No. 47-39,AV Caracas   47-39,N.D.,N.D.,S.C. MARLY,NA,"1",Actividades Subacuaticas,UPZ101,TEUSAQUILLO,TEUSAQUILLO,"13"
"124","124",Puente Aranda,Deportiva,Clubes,CLUB DEPORTIVO Y SOCIAL LOS PULPOS,I,Diagonal 13 sur No.58-35,DG 13 sur  58-35,N.D.,N.D.,MILENTA,NA,"1",Actividades Subacuaticas,UPZ43,SAN RAFAEL,PUENTE ARANDA,"16"
"125","125",Barrios Unidos,Deportiva,Clubes,CLUB DEPORTIVO Y SOCIAL CARDENALES,I,Calle 72 No.49-40,CL 72  49-40,N.D.,N.D.,DOCE DE OCTUBRE,NA,"1",Actividades Subacuaticas,UPZ22,DOCE DE OCTUBRE,BARRIOS UNIDOS,"12"
"126","126",Barrios Unidos,Deportiva,Clubes,CLUB DEPORTIVO Y SOCIAL AMAZONAS,I,Avenida 68 Calle 63 Unidad Deportiva el Salitre,AV 68  63 - 00 Unidad Deportiva el Salitre,N.D.,N.D.,SAN FERNANDO OCCIDENTAL,NA,"1",Actividades Subacuaticas,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"127","127",Barrios Unidos,Deportiva,Clubes,CLUB DEPORTIVO Y SOCIAL RIONEGRO,I,Carrera 39 No.95-38,KR 39  95-38,"2369324",N.D.,RIONEGRO,NA,"1",Actividades Subacuaticas,UPZ21,LOS ANDES,BARRIOS UNIDOS,"12"
"128","128",Barrios Unidos,Deportiva,Clubes,CLUB DEPORTIVO Y SOCIAL MONSERRATE,I,Calle 67 No.26-20,CL 67  26-20,N.D.,N.D.,SIETE DE AGOSTO,NA,"1",Actividades Subacuaticas,UPZ98,LOS ALCAZARES,BARRIOS UNIDOS,"12"
"129","129",Kennedy,Deportiva,Clubes,CLUB DEPORTIVO Y RECREATIVO TERRITORIAL,I,Calle 9 A No.69-30,CL 9 A  69-30,"2610537",N.D.,LOS PINOS DE MARCELLA,NA,"1",Actividades Subacuaticas,UPZ113,BAVARIA,KENNEDY,"08"
"130","130",Teusaquillo,Deportiva,Clubes,CLUB DEPORTIVO Y SOCIAL ORIOLES,I,Carrera 15 No.52-35 Interior 3,KR 15  52-35 Interior 3,"2355457",N.D.,QUESADA,NA,"1",Actividades Subacuaticas,UPZ100,GALERIAS,TEUSAQUILLO,"13"
"131","131",Kennedy,Deportiva,Clubes,CLUB DEPORTIVO ESCUELA DE FÃ™TBOL MARSELLA,A,Calle 9 B No.69-78,CL 9 B  69-78,"6091980",N.D.,LOS PINOS DE MARSELLA,NA,"35",Futbol,UPZ113,BAVARIA,KENNEDY,"08"
"132","132",Puente Aranda,Deportiva,Clubes,CLUB DEPORTIVO DE LEVANTAMIENTO DE PESAS ESPARTACO,I,Carrera 32 No.3-56,KR 32  3-56,N.D.,N.D.,N.D.,NA,"1",Actividades Subacuaticas,UPZ40,CIUDAD MONTES,PUENTE ARANDA,"16"
"133","133",Santa Fe,Deportiva,Clubes,CLUB DEPORTIVO EL JUDOKA,I,Calle 16 No.9-64 oficina 407,CL 16  9-64 oficina 407,N.D.,N.D.,VERACRUZ,NA,"1",Actividades Subacuaticas,UPZ93,LAS NIEVES,SANTA FE,"03"
"134","134",Los Mártires,Deportiva,Clubes,CLUB DEPORTIVO DE LEVANTAMIENTO DE PESAS DE RICAURTE POWER CLUB,I,Carrera 28 No.6-90,KR 28  6-90,N.D.,N.D.,RICAURTE,NA,"1",Actividades Subacuaticas,UPZ102,LA SABANA,LOS MARTIRES,"14"
"135","135",Chapinero,Deportiva,Clubes,CLUB DEPORTIVO ESCUDERIA PISTONES,I,Calle 99 No.14-49 int 3,CL 99  14-49 int 3,N.D.,N.D.,CHICO RESERVADO II SECTOR,NA,"1",Actividades Subacuaticas,UPZ97,CHICO LAGO,CHAPINERO,"02"
"136","136",Barrios Unidos,Deportiva,Clubes,CLUB DEPORTIVO ESTRADA SECCION CICLISMO,I,Carrera 64 No.69-84,KR 64  69-84,"2404716",N.D.,SAN FERNANDO OCCIDENTAL,NA,"1",Actividades Subacuaticas,UPZ26,LAS FERIAS,ENGATIVA,"10"
"137","137",Antonio Nariño,Deportiva,Clubes,CLUB DEPORTIVO CICLISTICO SENA,I,Carrera 30 Calle 18 sur,KR 30 CL 18 sur,N.D.,N.D.,SANTANDER NORTE,NA,"1",Actividades Subacuaticas,UPZ38,RESTREPO,ANTONIO NARIÑO,"15"
"138","138",Los Mártires,Deportiva,Clubes,CLUB DEPORTIVO AB CAMPING MOTOCLUB DE BOGOTA,I,Avenida caracas No.15-32,AV caracas  15-32,N.D.,N.D.,SAN VICTORINO,NA,"1",Actividades Subacuaticas,UPZ93,LAS NIEVES,SANTA FE,"03"
"139","139",Los Mártires,Deportiva,Clubes,CLUB DEPORTIVO LUBER BOLO CLUB,I,Carrera 28 No.8-47,KR 28  8-47,"2475020",N.D.,RICAURTE,NA,"1",Actividades Subacuaticas,UPZ102,LA SABANA,LOS MARTIRES,"14"
"140","140",Los Mártires,Deportiva,Clubes,CLUB DEPORTIVO MUISCAS,I,Calle 15 No.16-25,CL 15  16-25,"2828361",N.D.,SAN VICTORINO,NA,"1",Actividades Subacuaticas,UPZ102,LA SABANA,LOS MARTIRES,"14"
"141","141",N.D.,Deportiva,Clubes,CLUB DEPORTIVO ANDINO,I,Carrera 44 No.22 A-17,KR 44  22 A-17,N.D.,N.D.,N.D.,NA,"1",Actividades Subacuaticas,UPZ107,QUINTA PAREDES,TEUSAQUILLO,"13"
"142","142",Teusaquillo,Deportiva,Clubes,CLUB DEPORTIVO LUBER,I,Carrera 44 No.22 A-17,KR 44  22 A-17,N.D.,N.D.,ORTEZAL CADIZ,NA,"1",Actividades Subacuaticas,UPZ107,QUINTA PAREDES,TEUSAQUILLO,"13"
"143","143",Engativá,Deportiva,Clubes,CLUB DEPORTIVO LOS CINCO DEL NORTE,I,Calle 74BIS No 84 50,CL 74BIS  84 50,N.D.,N.D.,LA SOLEDAD NORTE,NA,"1",Actividades Subacuaticas,UPZ30,BOYACA REAL,ENGATIVA,"10"
"144","144",Antonio Nariño,Deportiva,Clubes,CLUB DEPORTIVO ATLETICO CENTRAL,I,Calle 22SUR No 21 09,CL 22SUR  21 09,N.D.,N.D.,RESTREPO,NA,"1",Actividades Subacuaticas,UPZ39,QUIROGA,RAFAEL URIBE URIBE,"18"
"145","145",Suba,Deportiva,Clubes,CLUB DEPORTIVO LONFOR,I,Calle 169A No 47 84,CL 169A  47 84,N.D.,N.D.,GRANADA NORTE BARILOCHE,NA,"1",Actividades Subacuaticas,UPZ18,BRITALIA,SUBA,"11"
"146","146",Bosa,Deportiva,Clubes,CLUB DEPORTIVO CICLO BOSA,I,Calle 12 No 11 21,CL 12  11 21,N.D.,N.D.,BOSA,NA,"1",Actividades Subacuaticas,UPZ93,LAS NIEVES,SANTA FE,"03"
"147","147",Teusaquillo,Deportiva,Clubes,CLUB DEPORTIVO ALFONSO LOPEZ,I,Calle 51 No 22 55,CL 51  22 55,N.D.,N.D.,ALFONSO LOPEZ,NA,"1",Actividades Subacuaticas,UPZ100,GALERIAS,TEUSAQUILLO,"13"
"148","148",Antonio Nariño,Deportiva,Clubes,CLUB DEPORTIVO CIRCULO ROTELISTICO PATINAJE ACADEMIA CLUB,I,Calle 19 Sur No 17 28,CL 19 Sur  17 28,N.D.,N.D.,RESTREPO,NA,"1",Actividades Subacuaticas,UPZ38,RESTREPO,ANTONIO NARIÑO,"15"
"149","149",Puente Aranda,Deportiva,Clubes,CLUB SOCIAL Y DEPORTIVO MOPAMUI,I,Carrera 32 No 1A 69,KR 32  1A 69,N.D.,N.D.,LA ASUNCIÃ’N,NA,"1",Actividades Subacuaticas,UPZ40,CIUDAD MONTES,PUENTE ARANDA,"16"
"150","150",Puente Aranda,Deportiva,Clubes,CLUB DEPORTIVO LIBERTADORES,I,Calle 33 Sur N 51C 13,CL 33 Sur N 51C 13,"7677646",N.D.,TEJAR,NA,"1",Actividades Subacuaticas,UPZ41,MUZU,PUENTE ARANDA,"16"
"151","151",Barrios Unidos,Deportiva,Clubes,CLUB DEPORTIVO BOXEO DEL NORTE,I,Calle 63B No 29 70,CL 63B  29 70,N.D.,N.D.,BENJAMIN HERREA,NA,"1",Actividades Subacuaticas,UPZ98,LOS ALCAZARES,BARRIOS UNIDOS,"12"
"152","152",Barrios Unidos,Deportiva,Clubes,CLUB DEPORTIVO DE ATLETISMO LOS HALCONES,I,Av. 68 Calle 63,AV 68  63 - 00,N.D.,N.D.,SAN FERNANDO OCCIDENTAL,NA,"1",Actividades Subacuaticas,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"153","153",Teusaquillo,Deportiva,Clubes,CLUB DEPORTIVO LIVED,A,Calle 45 No 45 70,CL 45  45 70,N.D.,N.D.,LA ESMERALDA,NA,"24",Deporte Aficionado,UPZ106,LA ESMERALDA,TEUSAQUILLO,"13"
"154","154",Teusaquillo,Deportiva,Clubes,CLUB DEPORTIVO IMPORTACIONES FABIO A CORTES C,A,Calle 45 No 20 07,CL 45  20 07,N.D.,N.D.,PALERMO,NA,"35",Futbol,UPZ101,TEUSAQUILLO,TEUSAQUILLO,"13"
"155","155",Teusaquillo,Deportiva,Clubes,CLUB SOCIAL Y DEPORTIVO DE EMPLEADOS DE LA ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA CLUBESAP,A,Diagonal 40 No 46A 37,DG 40  46A 37,N.D.,N.D.,RAFAEL NUÃ‘EZ,NA,"24",Deporte Aficionado,UPZ104,PARQUE SIMON BOLIVAR - CAN,TEUSAQUILLO,"13"
"156","156",Barrios Unidos,Deportiva,Clubes,CLUB DEPORTIVO MUEBLES COLONIAL,I,Calle 63 No 32 13,CL 63  32 13,N.D.,N.D.,BENJAMIN HERRERA,NA,"1",Actividades Subacuaticas,UPZ98,LOS ALCAZARES,BARRIOS UNIDOS,"12"
"157","157",Kennedy,Deportiva,Clubes,CLUB DEPORTIVO JOSE ANTONIO GALAN,I,Calle 40 No 93B 68 Sur,CL 40  93B 68 Sur,N.D.,N.D.,BELLA VISTA SECTOR SANTA CECILIA,NA,"1",Actividades Subacuaticas,UPZ82,PATIO BONITO,KENNEDY,"08"
"158","158",Barrios Unidos,Deportiva,Clubes,CLUB DEPORTIVO CAUPOLICAN,I,Av. 68 Calle 63,AV 68  63 - 00,N.D.,N.D.,SAN FERNANDO OCCIDENTAL,NA,"1",Actividades Subacuaticas,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"159","159",Barrios Unidos,Deportiva,Clubes,CLUB DEPORTIVO CICLO EJECUTIVOS BOGOTA,I,Calle 70 No 24 10,CL 70  24 10,N.D.,N.D.,LOS ALCAZARES,NA,"1",Actividades Subacuaticas,UPZ98,LOS ALCAZARES,BARRIOS UNIDOS,"12"
"160","160",Teusaquillo,Deportiva,Clubes,CLUB DEPORTIVO INTERNACIONALES,I,Av. Caracas No 58 57,AV Caracas  58 57,"2462631",N.D.,CHAPINERO OCCIDENTAL,NA,"1",Actividades Subacuaticas,UPZ100,GALERIAS,TEUSAQUILLO,"13"
"161","161",Chapinero,Deportiva,Clubes,CLUB DEPORTIVO GIMNASTICO BOGOTA,I,Carrera 7 No 67 09,KR 7  67 09,"2558305",N.D.,GRANADA,NA,"1",Actividades Subacuaticas,UPZ97,CHICO LAGO,CHAPINERO,"02"
"162","162",Chapinero,Deportiva,Clubes,CLUB DEPORTIVO LAS AGUILAS,I,Calle 59 No.13-20 oficina 205,CL 59  13-20 oficina 205,"2484763",N.D.,N.D.,NA,"1",Actividades Subacuaticas,UPZ99,CHAPINERO,CHAPINERO,"02"
"163","163",Engativá,Deportiva,Clubes,CLUB DEPORTIVO LA 68,I,Avenida 68 Calle 63,AV 68  63 - 00,N.D.,N.D.,BOSQUE POPULAR,NA,"1",Actividades Subacuaticas,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"164","164",Engativá,Deportiva,Clubes,CLUB DE KARATE DO QUIRIGUA,I,Calle 83 C No.90-66,CL 83 C  90-66,N.D.,N.D.,PRIMAVERA,NA,"1",Actividades Subacuaticas,UPZ29,MINUTO DE DIOS,ENGATIVA,"10"
"165","165",Kennedy,Deportiva,Clubes,CLUB DE TAE-KWON-DO CISSCA,A,Calle 8 sur No.18-36,CL 8 sur  18-36,"2462861","3106992017",SAN ANTONIO,tkdcissca@hotmail.es,"1",Actividades Subacuaticas,UPZ38,RESTREPO,ANTONIO NARIÑO,"15"
"166","166",La Candelaria,Deportiva,Clubes,CORPORACION CREAR DEPORTE CULTURA Y RECREACION POPULAR,I,Carrera 10 No 8 42 Of 602,KR 10  8 42 Of 602,N.D.,N.D.,CENTRO ADMINISTRATIVO,NA,"1",Actividades Subacuaticas,UPZ94,LA CANDELARIA,CANDELARIA,"17"
"167","167",Usaquén,Deportiva,Clubes,CLUB DEPORTIVO INTERNACIONAL DE BOGOTA,I,Transversal 29 No 139A 53,TV 29  139A 53,"2743904",N.D.,PRADO,NA,"1",Actividades Subacuaticas,UPZ13,LOS CEDROS,USAQUEN,"01"
"168","168",Los Mártires,Deportiva,Clubes,CLUB CULTURAL Y DEPORTIVO EL VERGEL,I,Calle 5 A No.19 A - 50,CL 5 A  19 A - 50,"2688831",N.D.,EL PROGRESO,NA,"1",Actividades Subacuaticas,UPZ37,SANTA ISABEL,LOS MARTIRES,"14"
"169","169",Antonio Nariño,Deportiva,Clubes,CLUB DEPORTIVO ESCUDERIA BEG,I,Carrera 15 No.11-79 sur,KR 15  11-79 sur,N.D.,N.D.,LUNA PARK,NA,"1",Actividades Subacuaticas,UPZ38,RESTREPO,ANTONIO NARIÑO,"15"
"170","170",Barrios Unidos,Deportiva,Clubes,CLUB DEPORTIVO EL SALITRE,I,Av. 68 Calle 63 B Coliseo El Salitre,AV 68  63 - 00 B Coliseo El Salitre,N.D.,N.D.,SAN FERNANDO OCCIDENTAL,NA,"1",Actividades Subacuaticas,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"171","171",Usaquén,Deportiva,Clubes,CLUB DEPORTIVO FLAMINGO KART CLUB,I,Carrera 52 A No.127 C-07,KR 52 A  127 C-07,"2531677",N.D.,BATAN,NA,"1",Actividades Subacuaticas,UPZ24,NIZA,SUBA,"11"
"172","172",Kennedy,Deportiva,Clubes,CLUB DEPORTIVO TAEKWON-DO DE CIUDAD KENNEDY,I,Av. 1 de mayo No.66A-13 sur,AV 1 de mayo  66A-13 sur,N.D.,N.D.,SAN EUSEBIO,NA,"1",Actividades Subacuaticas,UPZ45,CARVAJAL,KENNEDY,"08"
"173","173",Ciudad Bolívar,Deportiva,Clubes,CLUB DEPORTIVO REVOLUCION,I,Calle 61 D sur No.18 J-30,CL 61 D sur  18 J-30,"7911414",N.D.,CIUDAD MILAGRO,clublarevolucio@hotmail.com,"1",Actividades Subacuaticas,UPZ67,LUCERO,CIUDAD BOLIVAR,"19"
